transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,300,0.8533,0.8400,0.9445,0.7600,0.9467
jpeg90,300,0.8500,0.8167,0.9275,0.8067,0.8933
jpeg70,300,0.8433,0.7967,0.9251,0.8600,0.8267
jpeg50,300,0.7967,0.7667,0.8932,0.8400,0.7533
jpeg30,300,0.7833,0.7600,0.8791,0.7933,0.7733
blur0.5,300,0.8333,0.8467,0.9413,0.7267,0.9400
blur1.0,300,0.7633,0.7933,0.8955,0.5800,0.9467
blur2.0,300,0.7133,0.7333,0.8362,0.5333,0.8933
resize0.5,300,0.7667,0.8000,0.8934,0.5933,0.9400
resize0.25,300,0.6867,0.7600,0.8346,0.4733,0.9000
noise0.02,300,0.8333,0.7600,0.9038,0.8333,0.8333
noise0.05,300,0.7700,0.7367,0.8804,0.8400,0.7000
noise0.10,300,0.7100,0.6967,0.8013,0.7667,0.6533
jitter,300,0.8467,0.8533,0.9451,0.7667,0.9267
crop80,300,0.8400,0.8200,0.9163,0.7667,0.9133
