transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1200,0.8717,0.8517,0.9455,0.8583,0.8850
jpeg90,300,0.9067,0.8467,0.9914,0.9933,0.8200
jpeg70,300,0.8900,0.7867,0.9900,0.9867,0.7933
jpeg50,300,0.8567,0.7800,0.9895,1.0000,0.7133
jpeg30,300,0.8533,0.7533,0.9815,0.9867,0.7200
blur0.5,300,0.9300,0.8867,0.9918,0.9733,0.8867
blur1.0,300,0.9300,0.8933,0.9797,0.9267,0.9333
blur2.0,300,0.9367,0.8400,0.9807,0.9733,0.9000
resize0.5,300,0.9333,0.8867,0.9884,0.9667,0.9000
resize0.25,300,0.8967,0.8400,0.9720,0.9733,0.8200
noise0.02,300,0.9167,0.8333,0.9901,0.9867,0.8467
noise0.05,300,0.8667,0.7867,0.9931,0.9933,0.7400
noise0.10,300,0.8233,0.6900,0.9840,0.9933,0.6533
jitter,300,0.9300,0.8867,0.9950,0.9867,0.8733
crop80,300,0.8367,0.7333,0.9824,1.0000,0.6733
