transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1500,0.8680,0.8493,0.9439,0.8387,0.8973
jpeg90,600,0.8783,0.8317,0.9544,0.9000,0.8567
jpeg70,600,0.8667,0.7917,0.9540,0.9233,0.8100
jpeg50,600,0.8267,0.7733,0.9383,0.9200,0.7333
jpeg30,600,0.8183,0.7567,0.9260,0.8900,0.7467
blur0.5,600,0.8817,0.8667,0.9594,0.8500,0.9133
blur1.0,600,0.8467,0.8433,0.9339,0.7533,0.9400
blur2.0,600,0.8250,0.7867,0.9043,0.7533,0.8967
resize0.5,600,0.8500,0.8433,0.9354,0.7800,0.9200
resize0.25,600,0.7917,0.8000,0.8852,0.7233,0.8600
noise0.02,600,0.8750,0.7967,0.9480,0.9100,0.8400
noise0.05,600,0.8183,0.7617,0.9387,0.9167,0.7200
noise0.10,600,0.7667,0.6933,0.8939,0.8800,0.6533
jitter,600,0.8883,0.8700,0.9645,0.8767,0.9000
crop80,600,0.8383,0.7767,0.9210,0.8833,0.7933
