transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1200,0.8858,0.8800,0.9566,0.8617,0.9100
jpeg90,300,0.9533,0.9300,0.9964,1.0000,0.9067
jpeg70,300,0.8967,0.8600,0.9936,1.0000,0.7933
jpeg50,300,0.8900,0.8567,0.9878,1.0000,0.7800
jpeg30,300,0.8800,0.8500,0.9882,1.0000,0.7600
blur0.5,300,0.9767,0.9700,0.9983,0.9933,0.9600
blur1.0,300,0.9733,0.9567,0.9956,0.9800,0.9667
blur2.0,300,0.9167,0.9067,0.9818,0.9600,0.8733
resize0.5,300,0.9733,0.9400,0.9969,1.0000,0.9467
resize0.25,300,0.8967,0.8467,0.9771,0.9933,0.8000
noise0.02,300,0.9567,0.9300,0.9959,0.9933,0.9200
noise0.05,300,0.9333,0.9133,0.9946,0.9933,0.8733
noise0.10,300,0.9200,0.8967,0.9855,0.9933,0.8467
jitter,300,0.9633,0.9367,0.9982,1.0000,0.9267
crop80,300,0.8933,0.8667,0.9950,1.0000,0.7867
