transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1200,0.8825,0.8925,0.9626,0.8050,0.9600
jpeg90,240,0.9792,0.9333,0.9976,0.9917,0.9667
jpeg70,240,0.9542,0.8708,0.9999,1.0000,0.9083
jpeg50,240,0.9208,0.8583,0.9966,0.9917,0.8500
jpeg30,240,0.9083,0.8583,0.9944,0.9833,0.8333
blur0.5,240,0.9917,0.9792,0.9990,0.9917,0.9917
blur1.0,240,0.9833,0.9792,0.9993,0.9917,0.9750
blur2.0,240,0.9458,0.8708,0.9918,0.9833,0.9083
resize0.5,240,0.9875,0.9583,0.9995,0.9917,0.9833
resize0.25,240,0.8750,0.7875,0.9921,1.0000,0.7500
noise0.02,240,0.9833,0.9333,0.9988,0.9917,0.9750
noise0.05,240,0.9542,0.8625,0.9917,0.9833,0.9250
noise0.10,240,0.9208,0.8292,0.9884,0.9833,0.8583
jitter,240,0.9792,0.9458,0.9983,0.9917,0.9667
crop80,240,0.9542,0.8792,0.9935,0.9917,0.9167
