transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1200,0.8725,0.8642,0.9497,0.8233,0.9217
jpeg90,300,0.8867,0.7633,0.9784,0.9867,0.7867
jpeg70,300,0.8567,0.7200,0.9740,0.9933,0.7200
jpeg50,300,0.8300,0.6800,0.9712,1.0000,0.6600
jpeg30,300,0.8267,0.6767,0.9741,0.9933,0.6600
blur0.5,300,0.9500,0.8867,0.9924,0.9800,0.9200
blur1.0,300,0.9533,0.8800,0.9938,0.9733,0.9333
blur2.0,300,0.9200,0.8000,0.9816,0.9533,0.8867
resize0.5,300,0.9567,0.8767,0.9955,0.9933,0.9200
resize0.25,300,0.9133,0.8300,0.9908,0.9800,0.8467
noise0.02,300,0.9233,0.8300,0.9801,0.9933,0.8533
noise0.05,300,0.8700,0.7333,0.9731,0.9933,0.7467
noise0.10,300,0.8500,0.7067,0.9532,0.9800,0.7200
jitter,300,0.9500,0.8800,0.9901,0.9933,0.9067
crop80,300,0.9467,0.8500,0.9975,1.0000,0.8933
