transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,300,0.9267,0.8933,0.9709,0.9400,0.9133
jpeg90,300,0.9133,0.8900,0.9680,0.9200,0.9067
jpeg70,300,0.8967,0.8967,0.9486,0.8800,0.9133
jpeg50,300,0.8633,0.8433,0.9363,0.8600,0.8667
jpeg30,300,0.8767,0.8400,0.9368,0.8800,0.8733
blur0.5,300,0.9167,0.8833,0.9721,0.9200,0.9133
blur1.0,300,0.9000,0.8733,0.9590,0.9267,0.8733
blur2.0,300,0.8300,0.8167,0.9182,0.8400,0.8200
resize0.5,300,0.9067,0.8900,0.9564,0.8933,0.9200
resize0.25,300,0.8300,0.8133,0.8990,0.7667,0.8933
noise0.02,300,0.8600,0.8033,0.9388,0.9333,0.7867
noise0.05,300,0.8500,0.8033,0.9309,0.8867,0.8133
noise0.10,300,0.7800,0.7467,0.8674,0.8267,0.7333
jitter,300,0.9133,0.9167,0.9735,0.9000,0.9267
crop80,300,0.8933,0.8733,0.9664,0.9267,0.8600
