transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,300,0.5833,0.5733,0.5745,0.5867,0.5800
jpeg90,300,0.5500,0.5300,0.5474,0.7667,0.3333
jpeg70,300,0.5000,0.4900,0.4910,0.8467,0.1533
jpeg50,300,0.4767,0.4900,0.4534,0.8200,0.1333
jpeg30,300,0.4867,0.5067,0.4706,0.7933,0.1800
blur0.5,300,0.5767,0.6067,0.5916,0.4067,0.7467
blur1.0,300,0.5100,0.5233,0.5375,0.2267,0.7933
blur2.0,300,0.5333,0.5367,0.5441,0.3933,0.6733
resize0.5,300,0.5033,0.5167,0.5062,0.3067,0.7000
resize0.25,300,0.4867,0.5267,0.5269,0.3467,0.6267
noise0.02,300,0.5000,0.4867,0.4911,0.6133,0.3867
noise0.05,300,0.4833,0.4667,0.4676,0.6200,0.3467
noise0.10,300,0.4600,0.4700,0.4510,0.4267,0.4933
jitter,300,0.5700,0.5667,0.5775,0.5733,0.5667
crop80,300,0.5400,0.5400,0.5400,0.4800,0.6000
