transform,n,acc,acc_and,auc,real_acc,fake_acc
clean,1200,0.4625,0.4858,0.4156,0.8150,0.1100
jpeg90,300,0.4867,0.4967,0.4198,0.8600,0.1133
jpeg70,300,0.4533,0.4833,0.3836,0.8000,0.1067
jpeg50,300,0.4700,0.4867,0.4466,0.8000,0.1400
jpeg30,300,0.4900,0.5133,0.4790,0.8400,0.1400
blur0.5,300,0.4867,0.4867,0.4236,0.8933,0.0800
blur1.0,300,0.5000,0.4967,0.4694,0.9000,0.1000
blur2.0,300,0.4200,0.4267,0.3387,0.6467,0.1933
resize0.5,300,0.5300,0.5100,0.5018,0.9133,0.1467
resize0.25,300,0.4733,0.4933,0.4502,0.6600,0.2867
noise0.02,300,0.4367,0.4667,0.3109,0.8267,0.0467
noise0.05,300,0.4000,0.4367,0.2745,0.7067,0.0933
noise0.10,300,0.4267,0.4633,0.3179,0.6867,0.1667
jitter,300,0.4433,0.4900,0.3631,0.7733,0.1133
crop80,300,0.4800,0.4967,0.4677,0.9133,0.0467
