transform,n,acc,auc,real_acc,fake_acc
clean,1500,0.9960,0.9999,0.9933,0.9987
jpeg90,600,0.9967,1.0000,1.0000,0.9933
jpeg70,600,0.9917,0.9994,0.9933,0.9900
jpeg50,600,0.9850,0.9981,0.9867,0.9833
jpeg30,600,0.9800,0.9979,0.9867,0.9733
blur0.5,600,0.9983,1.0000,1.0000,0.9967
blur1.0,600,0.9917,0.9999,0.9867,0.9967
blur2.0,600,0.9817,0.9993,0.9667,0.9967
resize0.5,600,0.9900,0.9998,0.9867,0.9933
resize0.25,600,0.9633,0.9956,0.9833,0.9433
noise0.02,600,0.9933,0.9995,0.9933,0.9933
noise0.05,600,0.9783,0.9992,0.9733,0.9833
noise0.10,600,0.9733,0.9975,0.9567,0.9900
jitter,600,0.9983,1.0000,1.0000,0.9967
crop80,600,0.9817,0.9992,0.9967,0.9667
