transform,n,acc,auc,real_acc,fake_acc
clean,300,1.0000,1.0000,1.0000,1.0000
jpeg90,300,1.0000,1.0000,1.0000,1.0000
jpeg70,300,0.9967,1.0000,0.9933,1.0000
jpeg50,300,1.0000,1.0000,1.0000,1.0000
jpeg30,300,0.9900,0.9999,1.0000,0.9800
blur0.5,300,1.0000,1.0000,1.0000,1.0000
blur1.0,300,0.9900,1.0000,0.9800,1.0000
blur2.0,300,0.9867,0.9996,0.9733,1.0000
resize0.5,300,0.9933,1.0000,0.9867,1.0000
resize0.25,300,0.9833,0.9984,0.9800,0.9867
noise0.02,300,0.9933,0.9999,1.0000,0.9867
noise0.05,300,0.9867,0.9997,0.9933,0.9800
noise0.10,300,0.9833,0.9987,0.9867,0.9800
jitter,300,1.0000,1.0000,1.0000,1.0000
crop80,300,1.0000,1.0000,1.0000,1.0000
