transform,n,acc,auc,real_acc,fake_acc
clean,300,0.4733,0.5690,0.9133,0.0333
jpeg90,300,0.5000,0.5584,0.9667,0.0333
jpeg70,300,0.4867,0.4653,0.9467,0.0267
jpeg50,300,0.4733,0.4226,0.9267,0.0200
jpeg30,300,0.4667,0.3851,0.9000,0.0333
blur0.5,300,0.4733,0.5729,0.9133,0.0333
blur1.0,300,0.4867,0.5428,0.9333,0.0400
blur2.0,300,0.4633,0.4545,0.9000,0.0267
resize0.5,300,0.4600,0.4378,0.8800,0.0400
resize0.25,300,0.4400,0.3149,0.8400,0.0400
noise0.02,300,0.4833,0.4744,0.9400,0.0267
noise0.05,300,0.4833,0.4188,0.9400,0.0267
noise0.10,300,0.4633,0.3437,0.9000,0.0267
jitter,300,0.4733,0.5760,0.9133,0.0333
crop80,300,0.4767,0.5192,0.9267,0.0267
