transform,n,acc,auc,real_acc,fake_acc
clean,1200,0.9850,0.9997,0.9700,1.0000
jpeg90,300,0.9933,1.0000,1.0000,0.9867
jpeg70,300,0.9933,1.0000,1.0000,0.9867
jpeg50,300,0.9900,0.9999,0.9933,0.9867
jpeg30,300,0.9900,0.9997,0.9933,0.9867
blur0.5,300,1.0000,1.0000,1.0000,1.0000
blur1.0,300,0.9967,1.0000,0.9933,1.0000
blur2.0,300,0.9833,0.9995,0.9933,0.9733
resize0.5,300,0.9967,1.0000,0.9933,1.0000
resize0.25,300,0.9867,0.9997,0.9933,0.9800
noise0.02,300,0.9933,0.9999,0.9933,0.9933
noise0.05,300,0.9867,0.9998,0.9933,0.9800
noise0.10,300,0.9700,0.9996,0.9933,0.9467
jitter,300,1.0000,1.0000,1.0000,1.0000
crop80,300,0.9867,0.9999,1.0000,0.9733
