transform,n,acc,auc,real_acc,fake_acc
clean,1200,0.5175,0.2547,0.9833,0.0517
jpeg90,300,0.5000,0.0953,0.9800,0.0200
jpeg70,300,0.4967,0.0645,0.9933,0.0000
jpeg50,300,0.4900,0.0689,0.9800,0.0000
jpeg30,300,0.4933,0.0908,0.9867,0.0000
blur0.5,300,0.5000,0.0868,1.0000,0.0000
blur1.0,300,0.5000,0.0732,0.9933,0.0067
blur2.0,300,0.4433,0.0944,0.8733,0.0133
resize0.5,300,0.4967,0.1146,0.9933,0.0000
resize0.25,300,0.4967,0.1516,0.9867,0.0067
noise0.02,300,0.4800,0.0899,0.9600,0.0000
noise0.05,300,0.4867,0.0919,0.9667,0.0067
noise0.10,300,0.4633,0.0862,0.9267,0.0000
jitter,300,0.4967,0.0826,0.9867,0.0067
crop80,300,0.5067,0.1050,0.9933,0.0200
